"Test","Seed","RotationDeg","TranslationMm","JointsDeg","InitialDice","FinalDice","LeftDice","RightDice","PassOverall","PassBothArms","L_T","R_T","L_R","R_R","L_J","R_J"
"R8_T5_J8","2030","8","5","8","0.16077246516943","0.16077246516943","0","0.32154493033886","False","False","15.1140203475952","9.92681312561035","19.1951446533203","9.63100528717041","9.82286930084228","4.69906330108643"
"R8_T5_J8","2031","8","5","8","0.381120675553878","0.381120675553878","0.553034206231435","0.209207144876321","False","False","7.41431903839111","7.70304155349732","8.69619464874268","18.1485424041748","5.44213104248047","6.44162273406982"
"R8_T5_J8","2032","8","5","8","0.113387621357106","0.113387621357106","0.00856072773846487","0.218214514975746","False","False","11.2363958358765","6.51335000991821","7.21063613891602","17.7344455718994","5.07882595062256","5.28717136383057"
"R8_T5_J8","2033","8","5","8","0.428699945410093","0.543066198627154","0.200728267431259","0.885404129823049","False","False","12.0194854736328","0.91150689125061","9.81550025939941","10.9752607345581","4.25272655487061","7.58118963241577"
"R8_T5_J8","2034","8","5","8","0.0739994235336781","0.0739994235336781","0.0680808151761691","0.079918031891187","False","False","5.68863487243652","9.97418403625488","8.97290325164795","12.7122945785522","5.27465057373047","6.94564342498779"
"R8_T5_J8","2035","8","5","8","0.19441101886332","0.19441101886332","0","0.388822037726641","False","False","11.2741365432739","3.44682097434998","19.8163661956787","6.94749069213867","3.97692561149597","11.843542098999"
"R10_T5_J10","2026","10","5","10","0.091305119295915","0.091305119295915","0.118050304551919","0.0645599340399106","False","False","3.30602979660034","7.63854122161865","19.5957374572754","12.3224020004272","4.11817264556885","10.679705619812"
"R10_T5_J10","2027","10","5","10","0.085283489121745","0.085283489121745","0.0124394518012802","0.15812752644221","False","False","9.56398296356201","7.95677280426025","11.9489669799805","24.1644535064697","1.00956237316132","11.0476970672607"
"R10_T5_J10","2028","10","5","10","0.13998765250047","0.13998765250047","0","0.279975305000941","False","False","10.1588716506958","4.76243257522583","14.1655178070068","13.0265874862671","6.0128378868103","5.39907598495483"
"R10_T5_J10","2029","10","5","10","0.524860175947348","0.741883446772893","0.516179780165354","0.967587113380432","False","False","1.52968490123749","0.624833583831787","10.8425168991089","1.11205959320068","7.79019737243652","5.06017875671387"
"R10_T5_J10","2030","10","5","10","0.163757525384426","0.163757525384426","0","0.327515050768852","False","False","15.1140203475952","9.92681312561035","23.9653625488281","12.0273284912109","12.27858543396","5.87382888793945"
"R10_T5_J10","2031","10","5","10","0.371505002180735","0.371505002180735","0.535283744335175","0.207726260026296","False","False","7.41431903839111","7.70304155349732","10.8777179718018","22.7116851806641","6.80266141891479","8.05202770233154"
"R10_T5_J10","2032","10","5","10","0.113961565696324","0.113961565696324","0.00244738130519787","0.22547575008745","False","False","11.2363958358765","6.51335000991821","9.00856685638428","22.1568546295166","6.3485312461853","6.60896444320679"
"R10_T5_J10","2033","10","5","10","0.425868404408296","0.519867360591888","0.20299090941747","0.836743811766307","False","False","10.0089149475098","0.831393778324127","12.3628225326538","15.0217876434326","5.15313148498535","9.08598899841309"
"R10_T5_J10","2034","10","5","10","0.0792441616455714","0.0792441616455714","0.0761548926432927","0.08233343064785","False","False","5.68863487243652","9.97418403625488","11.2189817428589","15.8127012252808","6.15766859054565","8.68205547332764"
"R10_T5_J10","2035","10","5","10","0.1947471499055","0.1947471499055","0","0.389494299811001","False","False","11.2741365432739","3.44682097434998","24.6766319274902","8.68358039855957","4.81541585922241","14.8044281005859"
"R15_T5_J15","2026","15","5","15","0.0784531937291225","0.0784531937291225","0.112900900344054","0.0440054871141911","False","False","3.30602979660034","7.63854122161865","29.435977935791","18.5706558227539","6.17725896835327","16.0195617675781"
"R15_T5_J15","2027","15","5","15","0.116082727598647","0.116082727598647","0.0290067438036203","0.203158711393674","False","False","9.56398296356201","7.95677280426025","18.064920425415","36.3137664794922","1.51434075832367","16.5715446472168"
"R15_T5_J15","2028","15","5","15","0.166561330358187","0.166561330358187","0","0.333122660716375","False","False","10.1588716506958","4.76243257522583","21.3743839263916","19.7003326416016","9.01925754547119","8.09861373901367"
"R15_T5_J15","2029","15","5","15","0.476271165224413","0.575518886248271","0.202012419700623","0.949025352795919","False","False","3.88699436187744","0.717121124267578","21.2809906005859","3.05851078033447","11.7775602340698","7.94267797470093"
"R15_T5_J15","2030","15","5","15","0.170222950478395","0.170222950478395","0","0.34044590095679","False","False","15.1140203475952","9.92681312561035","35.8290939331055","17.9966678619385","18.4178791046143","8.81074333190918"
"R15_T5_J15","2031","15","5","15","0.329760896662871","0.329760896662871","0.455798447132111","0.203723346193631","False","False","7.41431903839111","7.70304155349732","16.3441944122314","34.1507987976074","10.2039928436279","12.0780439376831"
"R15_T5_J15","2032","15","5","15","0.121087570985158","0.121087570985158","0","0.242175141970317","False","False","11.2363958358765","6.51335000991821","13.4947938919067","33.1908760070801","9.52279663085938","9.9134464263916"
"R15_T5_J15","2033","15","5","15","0.385233625769615","0.385233625769615","0.203888048728307","0.566579202810923","False","False","13.7576675415039","5.8524227142334","16.7686367034912","26.4371032714844","7.68291664123535","12.2796430587769"
"R15_T5_J15","2034","15","5","15","0.0929783858979742","0.0929783858979742","0.0975164230912924","0.088440348704656","False","False","5.68863487243652","9.97418403625488","16.8388538360596","23.4171886444092","8.65999031066895","13.0230827331543"
"R15_T5_J15","2035","15","5","15","0","0","0","0","False","False","0","0","0","0","0","0"
